0:0:0:0:0:0:0:1 - - [13/Jul/2017:14:35:32 -0300] "POST /ChampionsLinux/rest/jogos/adicionar HTTP/1.1" 200 778
0:0:0:0:0:0:0:1 - - [13/Jul/2017:14:35:50 -0300] "POST /ChampionsLinux/rest/equipes/adicionar HTTP/1.1" 200 1022
0:0:0:0:0:0:0:1 - - [13/Jul/2017:14:35:52 -0300] "GET /ChampionsLinux/rest/equipes/jogadores/5 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [13/Jul/2017:14:36:00 -0300] "POST /ChampionsLinux/rest/equipes/adiciona_jogador/1 HTTP/1.1" 200 730
0:0:0:0:0:0:0:1 - - [13/Jul/2017:14:36:32 -0300] "GET /ChampionsLinux/rest/jogos/listar HTTP/1.1" 200 778
0:0:0:0:0:0:0:1 - - [13/Jul/2017:14:36:39 -0300] "GET /ChampionsLinux/rest/equipes/jogadores/1 HTTP/1.1" 200 730
0:0:0:0:0:0:0:1 - - [13/Jul/2017:14:59:06 -0300] "POST /ChampionsLinux/rest/equipes/adicionar HTTP/1.1" 200 1221
0:0:0:0:0:0:0:1 - - [13/Jul/2017:14:59:28 -0300] "GET /ChampionsLinux/rest/equipes/jogadores/4 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [13/Jul/2017:14:59:34 -0300] "GET /ChampionsLinux/rest/equipes/jogadores/6 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [13/Jul/2017:14:59:36 -0300] "GET /ChampionsLinux/rest/equipes/jogadores/1 HTTP/1.1" 200 730
0:0:0:0:0:0:0:1 - - [13/Jul/2017:14:59:52 -0300] "POST /ChampionsLinux/rest/equipes/adiciona_jogador/1 HTTP/1.1" 200 855
0:0:0:0:0:0:0:1 - - [13/Jul/2017:15:00:34 -0300] "GET /ChampionsLinux/rest/jogos/listar HTTP/1.1" 200 778
0:0:0:0:0:0:0:1 - - [13/Jul/2017:15:05:11 -0300] "GET /ChampionsLinux/ HTTP/1.1" 200 13889
0:0:0:0:0:0:0:1 - - [13/Jul/2017:15:05:11 -0300] "GET /ChampionsLinux/css/bootstrap.css HTTP/1.1" 200 146010
